id,date,kWh
1,2023-05-11 6:00,3.279
2,2023-05-11 7:00,17.545
3,2023-05-11 8:00,45.835
4,2023-05-11 9:00,95.306
5,2023-05-11 10:00,122.057
6,2023-05-11 11:00,8.852
7,2023-05-11 16:00,20.134
8,2023-05-11 17:00,87.522
9,2023-05-11 18:00,49.381
10,2023-05-11 19:00,8.381
11,2017-12-17 0:00,0.118
12,2017-12-17 1:00,0.114
13,2017-12-17 2:00,0.113
14,2017-12-17 3:00,0.112
15,2017-12-17 4:00,0.115
16,2017-12-17 5:00,0.118
17,2017-12-17 6:00,0.118
18,2017-12-17 7:00,0.119
19,2017-12-17 8:00,0.115
20,2017-12-17 9:00,3.076
21,2017-12-17 10:00,11.492
22,2017-12-17 11:00,20.767
23,2017-12-17 12:00,39.152
24,2017-12-17 13:00,26.005
25,2017-12-17 14:00,20.136
26,2017-12-17 15:00,28.38
27,2017-12-17 16:00,4.759
28,2017-11-29 8:00,7.493
29,2017-11-29 9:00,31.395
30,2017-11-29 10:00,48.212
31,2017-11-29 11:00,193.062
32,2017-11-29 12:00,343.759
33,2017-11-29 13:00,288.428
34,2017-11-29 14:00,85.649
35,2017-11-29 15:00,28.814
36,2017-11-29 16:00,2.561
37,2017-11-29 17:00,0.093
38,2017-11-29 18:00,0.113
39,2017-11-29 19:00,0.106
40,2017-11-29 20:00,0.109
41,2017-11-29 21:00,0.111
42,2017-11-29 22:00,0.111
43,2017-11-29 23:00,0.11
44,2018-01-28 8:00,2.569
45,2018-01-28 9:00,11.975
46,2018-01-28 10:00,30.589
47,2018-01-28 11:00,38.334
48,2018-01-28 12:00,42.004
49,2018-01-28 13:00,24.465
50,2018-01-28 14:00,15.147
51,2018-01-28 15:00,10.951
52,2018-01-28 16:00,4.647
53,2018-01-28 17:00,0.003
54,2017-12-27 0:00,1.064
55,2017-12-27 1:00,1.074
56,2017-12-27 2:00,1.061
57,2017-12-27 3:00,1.064
58,2017-12-27 4:00,1.051
59,2017-12-27 5:00,1.094
60,2017-12-27 6:00,1.084
61,2017-12-27 7:00,1.08
62,2017-12-27 8:00,1.083
63,2017-12-27 9:00,1.136
64,2017-12-27 10:00,2.803
65,2017-12-27 11:00,0.822
66,2017-12-27 12:00,1.303
67,2017-12-27 13:00,0.3
68,2017-12-27 14:00,0.053
69,2018-01-19 8:00,2.239
70,2018-01-19 9:00,27.257
71,2018-01-19 10:00,56.235
72,2018-01-19 11:00,273.779
73,2018-01-19 12:00,430.871
74,2018-01-19 13:00,428.029
75,2018-01-19 14:00,313.835
76,2018-01-19 15:00,65.647
77,2018-01-19 16:00,11.522
78,2018-01-19 17:00,0.874
79,2018-01-19 18:00,0.771
80,2018-01-19 23:00,0.783
81,2018-02-06 8:00,2.5
82,2018-02-06 9:00,15.256
83,2018-02-06 16:00,11.59
84,2018-02-06 17:00,0.916
85,2017-11-21 10:45,0.97
86,2017-11-21 11:45,23.927
87,2017-11-21 12:45,69.659
